,player_id,actual_name,twitter_handle,position,height,height_inches,feet,inches,weight,shooting_hand,college,high_school,draft_team,draft_position,overall_pick,draft_round,round_pick,nba_debut,experience,nba_years,birthdate,birthyear,age,exact_age,birthplace,birthcity,birthstate,birthcountry,high_school_location,high_school_city,high_school_state,numbers,contract_terms,teams_colors,player_url,scrape_date
jerebjo01,jerebjo01,Jonas Jerebko,@JonasJerebko,Power Forward,6'10,82,6,10,231,Right,,,Detroit Pistons,2nd round 9th pick 39th overall,39,2,9,10/31/09,3 years,3,3/3/87,1987,26,26y 0m 279d 12H 0M 0S,"Kinna, Sweden",Kinna,,Sweden,,,,33,"Signed December 9, 2011 for an assumed $18,000,000 for 4 years.  2014-15 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff0000;-Detroit Pistons, 2010-2014",http://www.basketball-reference.com/players/j/jerebjo01.html,12/7/13 15:54
johnsam01,johnsam01,Amir Jalla Johnson,@IamAmirJohnson,Power Forward-Small Forward,6'9,81,6,9,210,Right,,Westchester,Detroit Pistons,2nd round 26th pick 56th overall,56,2,26,1/24/06,8 years,8,5/1/87,1987,26,26y 0m 220d 12H 0M 0S,"Los Angeles, California",Los Angeles,California,USA,"Los Angeles, California",Los Angeles,California,25;15,"Signed July 8, 2010 for an assumed $30,000,000 plus incentives for 5 years.  2014-15 is partially guaranteed for $5,000,000.  2013-14 and 2014-15 each have up to $50,000 in unlikely incentives not included here.  Contract has a 5% trade kicker.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff0000;-Detroit Pistons, 2006-2009-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Toronto Raptors, 2010-2014",http://www.basketball-reference.com/players/j/johnsam01.html,12/7/13 15:54
johnsjo02,johnsjo02,Joe Marcus Johnson,,Shooting Guard-Small Forward,6'8,80,6,8,225,Right,University of Arkansas,Little Rock Central,Boston Celtics,1st round 10th pick 10th overall,10,1,10,10/30/01,12 years,12,6/29/81,1981,32,32y 0m 161d 0H 0M 0S,"Little Rock, Arkansas",Little Rock,Arkansas,USA,"Little Rock, Arkansas",Little Rock,Arkansas,31;2;2;2;7,"Signed July 8, 2010 for an assumed $123,658,089 for 6 years.","poptip uni_square-color:#008000;background-color:#ffffff;border-color:#008000;-Boston Celtics, 2002-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff4500;-Phoenix Suns, 2002-2005-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Atlanta Hawks, 2006-2007-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-Atlanta Hawks, 2008-2012-poptip uni_square-color:#000000;background-color:#ffffff;border-color:#000000;-Brooklyn Nets, 2013-2014",http://www.basketball-reference.com/players/j/johnsjo02.html,12/7/13 15:54
johnsor01,johnsor01,Orlando Vincent Johnson,@Pace_O11,Shooting Guard,6'5,77,6,5,220,Right,"University of California, Santa Barbara",Palma,Sacramento Kings,2nd round 6th pick 36th overall,36,2,6,11/5/12,1 year,1,3/11/89,1989,24,24y 0m 271d 0H 0M 0S,"Monterey, California",Monterey,California,USA,"Salinas, California",Salinas,California,11,"Signed July 13, 2012 for an assumed $2,254,115 for 3 years.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ffd700;-Indiana Pacers, 2013-2014",http://www.basketball-reference.com/players/j/johnsor01.html,12/7/13 15:54
johnswe01,johnswe01,Wesley JaMarr Johnson,,Small Forward-Shooting Guard,6'7,79,6,7,205,Right,Syracuse University,Corsicana,Minnesota Timberwolves,1st round 4th pick 4th overall,4,1,4,10/27/10,3 years,3,7/11/87,1987,26,26y 0m 149d 12H 0M 0S,"Corsicana, Texas",Corsicana,Texas,USA,"Corsicana, Texas",Corsicana,Texas,4;2;11,"Signed July 15, 2013 for an assumed minimum salary for 1 year.","poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 2011-2012-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff4500;-Phoenix Suns, 2013-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ffd700;-Los Angeles Lakers, 2014",http://www.basketball-reference.com/players/j/johnswe01.html,12/7/13 15:54
jonesja02,jonesja02,James Andrew Jones,,Small Forward-Shooting Guard,6'8,80,6,8,225,Right,University of Miami,American,Indiana Pacers,2nd round 20th pick 49th overall,49,2,20,12/26/03,10 years,10,10/4/80,1980,33,33y 0m 63d 18H 0M 0S,"Miami, Florida",Miami,Florida,USA,"Miami, Florida",Miami,Florida,33;22;33;22,"Signed December 9, 2011 for an assumed $4,500,000 for 3 years.  Player Option for 2013-14 was picked up on June 25, 2013.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ffd700;-Indiana Pacers, 2004-2005-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff4500;-Phoenix Suns, 2006-2007-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Portland Trail Blazers, 2008-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#8b0000;-Miami Heat, 2009-2014",http://www.basketball-reference.com/players/j/jonesja02.html,12/7/13 15:54
jonespe01,jonespe01,Perry James Jones III,,Small Forward-Power Forward,6'11,83,6,11,235,Right,Baylor University,Duncanville,Oklahoma City Thunder,1st round 28th pick 28th overall,28,1,28,11/2/12,1 year,1,9/24/91,1991,22,22y 0m 74d 12H 0M 0S,"Winnsboro, Louisiana",Winnsboro,Louisiana,USA,"Duncanville, Texas",Duncanville,Texas,3,"Signed July 7, 2012.  Team Option for 2014-15 picked up on October 25, 2013.","poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#00008b;-Oklahoma City Thunder, 2013-2014",http://www.basketball-reference.com/players/j/jonespe01.html,12/7/13 15:54
jonesso01,jonesso01,Solomon Jones III,,Power Forward-Center,6'10,82,6,10,230,Right,University of South Florida,Mount Dora,Atlanta Hawks,2nd round 3rd pick 33rd overall,33,2,3,11/1/06,7 years,7,7/16/84,1984,29,29y 0m 143d 18H 0M 0S,"Eustis, Florida",Eustis,Florida,USA,"Mount Dora, Florida",Mount Dora,Florida,44;44;44;21;18;54;22,"Signed September 27, 2013 for an assumed minimum salary for 1 year.  Contract is not guaranteed.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Atlanta Hawks, 2007-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-Atlanta Hawks, 2008-2009-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ffd700;-Indiana Pacers, 2010-2011-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Los Angeles Clippers, 2012-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#551a8b;-New Orleans Hornets, 2012-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff4500;-New York Knicks, 2013-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#000000;-Orlando Magic, 2014",http://www.basketball-reference.com/players/j/jonesso01.html,12/7/13 15:54
joneste01,joneste01,Terrence Alexander Jones,@TerrenceJones1,Power Forward,6'9,81,6,9,252,Left,University of Kentucky,Jefferson,Houston Rockets,1st round 18th pick 18th overall,18,1,18,11/10/12,1 year,1,1/9/92,1992,21,21y 0m 332d 18H 0M 0S,"Portland, Oregon",Portland,Oregon,USA,"Portland, Oregon",Portland,Oregon,6,"Signed July 9, 2012.  Team Option for 2014-15 picked up on October 30, 2013.","poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2013-2014",http://www.basketball-reference.com/players/j/joneste01.html,12/7/13 15:54
jordade01,jordade01,Hyland DeAndre Jordan Jr.,@deandrejordan,Center,6'11,83,6,11,250,Left,Texas A&M University,Christian Life Center Academy,Los Angeles Clippers,2nd round 5th pick 35th overall,35,2,5,11/1/08,5 years,5,7/21/88,1988,25,25y 0m 138d 18H 0M 0S,"Houston, Texas",Houston,Texas,USA,"Humble, Texas",Humble,Texas,9;6,"Signed offer sheet on December 11, 2011 for an assumed $43,039,055 for 4 years.  Contract includes a 15% trade kicker.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Los Angeles Clippers, 2009-2011-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Los Angeles Clippers, 2012-2014",http://www.basketball-reference.com/players/j/jordade01.html,12/7/13 15:54
josepco01,josepco01,Cory Ephram Joseph,@Cory_Joe,Point Guard-Shooting Guard,6'3,75,6,3,185,Right,University of Texas at Austin,Findlay College Prep,San Antonio Spurs,1st round 29th pick 29th overall,29,1,29,12/26/11,2 years,2,8/20/91,1991,22,22y 0m 109d 12H 0M 0S,"Toronto, Canada",Toronto,,Canada,"Henderson, Nevada",Henderson,Nevada,5,"Signed December 16, 2011.  Team Option for 2013-14 picked up on October 26, 2012.  Team Option for 2014-15 picked up on October 28, 2013.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 2012-2014",http://www.basketball-reference.com/players/j/josepco01.html,12/7/13 15:54
kamanch01,kamanch01,Christopher Zane Kaman,@ChrisKaman,Center,7'0,84,7,0,268,Right,Central Michigan University,TriUnity Christian,Los Angeles Clippers,1st round 6th pick 6th overall,6,1,6,10/30/03,10 years,10,4/28/82,1982,31,31y 0m 223d 6H 0M 0S,"Wyoming, Michigan",Wyoming,Michigan,USA,"Wyoming, Michigan",Wyoming,Michigan,35;35;35;9,"Signed July 12, 2013 for an assumed $3,183,000 for 1 year.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Los Angeles Clippers, 2004-2011-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#551a8b;-New Orleans Hornets, 2012-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#0000ff;-Dallas Mavericks, 2013-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ffd700;-Los Angeles Lakers, 2014",http://www.basketball-reference.com/players/k/kamanch01.html,12/7/13 15:54
kanteen01,kanteen01,Enes Kanter,@Enes_Kanter,Center,6'11,83,6,11,262,Right,,Stoneridge Preparatory School,Utah Jazz,1st round 3rd pick 3rd overall,3,1,3,12/27/11,2 years,2,5/20/92,1992,21,21y 0m 200d 18H 0M 0S,"Zurich, Switzerland",Zurich,,Switzerland,"Simi Valley, California",Simi Valley,California,0,"Signed December 9, 2011.  Team Option for 2013-14 was picked up on October 26, 2012.  Team Option for 2014-15 was picked up on October 29, 2013.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#006400;-Utah Jazz, 2012-2014",http://www.basketball-reference.com/players/k/kanteen01.html,12/7/13 15:54
karasse01,karasse01,Sergey Karasev,,Small Forward,6'7,79,6,7,203,Left,,,Cleveland Cavaliers,1st round 19th pick 19th overall,19,1,19,NA,Rookie,0,10/26/93,1993,20,20y 0m 42d 0H 0M 0S,"St Petersburg, Russia",St Petersburg,,Russia,,,,10,"Signed August 2, 2013.","poptip uni_square-color:#ffffff;background-color:#8b0000;border-color:#ffd700;-Cleveland Cavaliers, 2014",http://www.basketball-reference.com/players/k/karasse01.html,12/7/13 15:54
kellyry01,kellyry01,Ryan Kelly,,Power Forward,6'11,83,6,11,230,Right,,,Los Angeles Lakers,2nd round 18th pick 48th overall,48,2,18,11/5/13,Rookie,0,4/9/91,1991,22,22y 0m 242d 12H 0M 0S,"Carmel, New York",Carmel,New York,USA,,,,4,,"poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ffd700;-Los Angeles Lakers, 2014",http://www.basketball-reference.com/players/k/kellyry01.html,12/7/13 15:54
kiddgmi01,kiddgmi01,Michael Anthony Edward Kidd-Gilchrist,,Small Forward,6'7,79,6,7,232,Right,University of Kentucky,Saint Patrick,Charlotte Bobcats,1st round 2nd pick 2nd overall,2,1,2,11/2/12,1 year,1,9/26/93,1993,20,20y 0m 72d 0H 0M 0S,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,USA,"Elizabeth, New Jersey",Elizabeth,New Jersey,14,"Signed July 7, 2012.  Team Option for 2014-15 picked up on October 31, 2013.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#add8e6;-Charlotte Bobcats, 2013-2014",http://www.basketball-reference.com/players/k/kiddgmi01.html,12/7/13 15:54
kirilan01,kirilan01,Andrei Kirilenko,,Small Forward-Power Forward,6'9,81,6,9,220,Right,,Frunzenskaya Sport School,Utah Jazz,1st round 24th pick 24th overall,24,1,24,10/30/01,11 years,11,2/18/81,1981,32,32y 0m 292d 0H 0M 0S,"Izhevsk, Russia",Izhevsk,,Russia,"Saint Petersburg, Russia",Saint Petersburg,Russia,47;47;47;47;47,"Signed July 12, 2013 for an assumed $6,509,235 for 2 years.  2014-15 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#6ca6cd;-Utah Jazz, 2002-2004-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#6ca6cd;-Utah Jazz, 2005-2010-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#006400;-Utah Jazz, 2011-poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 2013-poptip uni_square-color:#000000;background-color:#ffffff;border-color:#000000;-Brooklyn Nets, 2014",http://www.basketball-reference.com/players/k/kirilan01.html,12/7/13 15:54
knighbr03,knighbr03,Brandon Emmanuel Knight,@BrandonKnight12,Point Guard,6'3,75,6,3,189,Right,University of Kentucky,Pine Crest School,Detroit Pistons,1st round 8th pick 8th overall,8,1,8,12/26/11,2 years,2,12/2/91,1991,22,22y 0m 5d 12H 0M 0S,"Miami, Florida",Miami,Florida,USA,"Fort Lauderdale, Florida",Fort Lauderdale,Florida,7;11,"Signed December 9, 2011.  Team Option for 2013-14 picked up on October 22, 2012.  Team Option for 2014-15 picked up on October 19, 2013.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff0000;-Detroit Pistons, 2012-2013-poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ff0000;-Milwaukee Bucks, 2014",http://www.basketball-reference.com/players/k/knighbr03.html,12/7/13 15:54
korveky01,korveky01,Kyle Elliot Korver,@KyleKorver,Small Forward-Shooting Guard-Power Forward,6'7,79,6,7,210,Right,Creighton University,Pella,New Jersey Nets,2nd round 22nd pick 51st overall,51,2,22,10/28/03,10 years,10,3/17/81,1981,32,32y 0m 265d 0H 0M 0S,"Lakewood, California",Lakewood,California,USA,"Pella, Iowa",Pella,Iowa,26;26;26;26,"Signed July 11, 2013 for an assumed $24,000,000 for 4 years.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Philadelphia 76ers, 2004-2008-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#6ca6cd;-Utah Jazz, 2008-2010-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Chicago Bulls, 2011-2012-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-Atlanta Hawks, 2013-2014",http://www.basketball-reference.com/players/k/korveky01.html,12/7/13 15:54
koufoko01,koufoko01,Konstantine Demetrios Koufos,@kostakoufos,Center,7'0,84,7,0,265,Right,Ohio State University,GlenOak,Utah Jazz,1st round 23rd pick 23rd overall,23,1,23,11/1/08,5 years,5,2/24/89,1989,24,24y 0m 286d 0H 0M 0S,"Canton, Ohio",Canton,Ohio,USA,"Canton, Ohio",Canton,Ohio,41;41;41;41,"Signed extension on January 25, 2012 for an assumed $9,000,000 for 3 years that starts in 2012-13.  2014-15 is partially guaranteed for $500,000 if waived before June 30, 2014, fully guaranteed after that.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#6ca6cd;-Utah Jazz, 2009-2010-poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 2011-poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#000080;-Denver Nuggets, 2011-2013-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#6ca6cd;-Memphis Grizzlies, 2014",http://www.basketball-reference.com/players/k/koufoko01.html,12/7/13 15:54
kravtvi01,kravtvi01,Viacheslav Kravtsov,,Center,7'0,84,7,0,260,Right,,,,,,,,12/21/12,1 year,1,8/25/87,1987,26,26y 0m 104d 12H 0M 0S,"Odessa, Ukraine",Odessa,,Ukraine,,,,55;55,"Signed July 14, 2012 for an assumed $3,000,000 for 2 years.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff0000;-Detroit Pistons, 2013-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff8c00;-Phoenix Suns, 2014",http://www.basketball-reference.com/players/k/kravtvi01.html,12/7/13 15:54
kuzmiog01,kuzmiog01,Ognjen Kuzmic,,Center,7'1,85,7,1,251,Right,,,,,,,,10/30/13,Rookie,0,5/16/90,1990,23,23y 0m 205d 6H 0M 0S,"Doboj, Bosnia",Doboj,,Bosnia,,,,1,"Signed September 27, 2013 for an assumed minimum salary for 2 years.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ffd700;-Golden State Warriors, 2014",http://www.basketball-reference.com/players/k/kuzmiog01.html,12/7/13 15:54
lambdo01,lambdo01,Doron Emmanuel Calvin Lamb,@DLamb20,Shooting Guard,6'4,76,6,4,210,Right,University of Kentucky,Oak Hill Academy,Milwaukee Bucks,2nd round 12th pick 42nd overall,42,2,12,11/2/12,1 year,1,11/6/91,1991,22,22y 0m 31d 12H 0M 0S,"Queens, New York",Queens,New York,USA,"Mouth of Wilson, Virginia",Mouth of Wilson,Virginia,20;1,"Signed July 11, 2012 for an assumed $2,354,115 for 3 years.","poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ff0000;-Milwaukee Bucks, 2013-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#000000;-Orlando Magic, 2013-2014",http://www.basketball-reference.com/players/l/lambdo01.html,12/7/13 15:54
lambje01,lambje01,Jeremy Emmanuel Lamb,,Small Forward-Shooting Guard,6'5,77,6,5,180,Right,University of Connecticut,Norcross,Houston Rockets,1st round 12th pick 12th overall,12,1,12,11/2/12,1 year,1,5/30/92,1992,21,21y 0m 190d 18H 0M 0S,"Henrico Valley, Virginia",Henrico Valley,Virginia,USA,"Norcross, Georgia",Norcross,Georgia,11,"Signed July 25, 2012.  Team Option for 2014-15 picked up on October 25, 2013.","poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#00008b;-Oklahoma City Thunder, 2013-2014",http://www.basketball-reference.com/players/l/lambje01.html,12/7/13 15:54
larkish01,larkish01,DeShane Larkin,,Point Guard,5'11,71,5,11,176,Right,University of Miami,Dr Phillips,Atlanta Hawks,1st round 18th pick 18th overall,18,1,18,NA,Rookie,0,10/2/92,1992,21,21y 0m 65d 18H 0M 0S,"Cincinnati, Ohio",Cincinnati,Ohio,USA,"Orlando, Florida",Orlando,Florida,3,"Signed July 29, 2013.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#0000ff;-Dallas Mavericks, 2014",http://www.basketball-reference.com/players/l/larkish01.html,12/7/13 15:54
lawsoty01,lawsoty01,Tywon Ronnell Lawson,@TyLawson3,Point Guard,5'11,71,5,11,195,Right,University of North Carolina,Oak Hill Academy,Minnesota Timberwolves,1st round 18th pick 18th overall,18,1,18,10/28/09,4 years,4,11/3/87,1987,26,26y 0m 34d 12H 0M 0S,"Clinton, Maryland",Clinton,Maryland,USA,"Mouth of Wilson, Virginia",Mouth of Wilson,Virginia,3,"Signed extension on October 30, 2012 for an assumed $48,000,000 for 4 years that starts in 2013-14.","poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#000080;-Denver Nuggets, 2010-2014",http://www.basketball-reference.com/players/l/lawsoty01.html,12/7/13 15:54
ledori01,ledori01,Ricky Ledo,,Shooting Guard,6'7,79,6,7,195,Right,,,Milwaukee Bucks,2nd round 13th pick 43rd overall,43,2,13,11/1/13,Rookie,0,9/10/92,1992,21,21y 0m 87d 18H 0M 0S,"Providence, Rhode Island",Providence,Rhode Island,USA,,,,7,,"poptip uni_square-color:#ffffff;background-color:#000080;border-color:#0000ff;-Dallas Mavericks, 2014",http://www.basketball-reference.com/players/l/ledori01.html,12/7/13 15:54
leeco01,leeco01,Courtney Lee,@CourtneyLee2211,Shooting Guard,6'5,77,6,5,200,Right,Western Kentucky University,Pike,Orlando Magic,1st round 22nd pick 22nd overall,22,1,22,11/3/08,5 years,5,10/3/85,1985,28,28y 0m 65d 0H 0M 0S,"Indianapolis, Indiana",Indianapolis,Indiana,USA,"Indianapolis, Indiana",Indianapolis,Indiana,11;6;5;11,"Signed July 20, 2012 for an assumed $21,350,000 for 4 years.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#000000;-Orlando Magic, 2009-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-New Jersey Nets, 2010-poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2011-2012-poptip uni_square-color:#008000;background-color:#ffffff;border-color:#008000;-Boston Celtics, 2013-2014",http://www.basketball-reference.com/players/l/leeco01.html,12/7/13 15:54
leeda02,leeda02,David Lee,@Dlee042,Power Forward-Center-Small Forward,6'9,81,6,9,249,Left,University of Florida,Chaminade College Preparatory School,New York Knicks,1st round 30th pick 30th overall,30,1,30,11/6/05,8 years,8,4/29/83,1983,30,30y 0m 222d 12H 0M 0S,"St Louis, Missouri",St Louis,Missouri,USA,"St Louis, Missouri",St Louis,Missouri,42;10,"Signed July 9, 2010 for an assumed $79,537,680 for 6 years.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff4500;-New York Knicks, 2006-2010-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ffd700;-Golden State Warriors, 2011-2014",http://www.basketball-reference.com/players/l/leeda02.html,12/7/13 15:54
lenal01,lenal01,Olexiy Len,,Center,7'1,85,7,1,255,Right,University of Maryland,,Phoenix Suns,1st round 5th pick 5th overall,5,1,5,NA,Rookie,0,6/16/93,1993,20,20y 0m 174d 0H 0M 0S,"Antratsit, Ukraine",Antratsit,,Ukraine,,,,21,"Signed August 29, 2013.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff8c00;-Phoenix Suns, 2014",http://www.basketball-reference.com/players/l/lenal01.html,12/7/13 15:54
leonaka01,leonaka01,Kawhi Leonard,@TheBig_Island,Small Forward,6'7,79,6,7,225,Right,San Diego State University,King,Indiana Pacers,1st round 15th pick 15th overall,15,1,15,12/26/11,2 years,2,6/29/91,1991,22,22y 0m 161d 12H 0M 0S,"Los Angeles, California",Los Angeles,California,USA,"Riverside, California",Riverside,California,2,"Signed December 9, 2011.  Team Option for 2013-14 picked up on October 26, 2012.  Team Option for 2014-15 picked up on October 28, 2013.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 2012-2014",http://www.basketball-reference.com/players/l/leonaka01.html,12/7/13 15:54
leoname01,leoname01,Meyers Leonard,@MeyersLeonard11,Center,7'1,85,7,1,245,Right,University of Illinois at Urbana-Champaign,Robinson,Portland Trail Blazers,1st round 11th pick 11th overall,11,1,11,10/31/12,1 year,1,2/27/92,1992,21,21y 0m 283d 18H 0M 0S,"Woodbridge, Virginia",Woodbridge,Virginia,USA,"Robinson, Illinois",Robinson,Illinois,11,"Signed July 11, 2012.  Team Option for 2014-15 picked up on September 30, 2013.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Portland Trail Blazers, 2013-2014",http://www.basketball-reference.com/players/l/leoname01.html,12/7/13 15:54
leuerjo01,leuerjo01,Jon Leuer,@JLeu30,Power Forward-Center,6'10,82,6,10,228,Right,University of Wisconsin,Orono,Milwaukee Bucks,2nd round 10th pick 40th overall,40,2,10,12/26/11,2 years,2,5/14/89,1989,24,24y 0m 207d 0H 0M 0S,"Long Lake, Minnesota",Long Lake,Minnesota,USA,"Orono, Minnesota",Orono,Minnesota,30;30;30,"Signed July 10, 2013 for an assumed $2,902,500 for 3 years.  2015-16 is not guaranteed if waived before June 30, 2015.","poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ff0000;-Milwaukee Bucks, 2012-poptip uni_square-color:#ffffff;background-color:#8b0000;border-color:#ffd700;-Cleveland Cavaliers, 2013-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#6ca6cd;-Memphis Grizzlies, 2013-2014",http://www.basketball-reference.com/players/l/leuerjo01.html,12/7/13 15:54
lewisra02,lewisra02,Rashard Quovon Lewis,,Small Forward-Power Forward,6'10,82,6,10,215,Right,,Elsik,Seattle SuperSonics,2nd round 3rd pick 32nd overall,32,2,3,2/9/99,15 years,15,8/8/79,1979,34,34y 0m 121d 12H 0M 0S,"Pineville, Louisiana",Pineville,Louisiana,USA,"Alief, Texas",Alief,Texas,7;7;9;9;9;9,"Signed July 11, 2012 for an assumed minimum salary for 2 years.  Player Option for 2013-14 was picked up on June 25, 2013.","poptip uni_square-color:#ffffff;background-color:#006400;border-color:#8b0000;-Seattle SuperSonics, 1999-2001-poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ffd700;-Seattle SuperSonics, 2002-2007-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#000000;-Orlando Magic, 2008-2011-poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Washington Wizards, 2011-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000080;-Washington Wizards, 2012-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#8b0000;-Miami Heat, 2013-2014",http://www.basketball-reference.com/players/l/lewisra02.html,12/7/13 15:54
lillada01,lillada01,Damian Lamonte Ollie Lillard,@Dame_Lillard,Point Guard,6'3,75,6,3,195,Right,Weber State University,Oakland,Portland Trail Blazers,1st round 6th pick 6th overall,6,1,6,10/31/12,1 year,1,7/15/90,1990,23,23y 0m 145d 6H 0M 0S,"Oakland, California",Oakland,California,USA,"Oakland, California",Oakland,California,0,"Signed July 11, 2012.  Team Option for 2014-15 picked up on September 30, 2013.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Portland Trail Blazers, 2013-2014",http://www.basketball-reference.com/players/l/lillada01.html,12/7/13 15:54
linje01,linje01,Jeremy Shu-How Lin,@JLin7,Point Guard,6'3,75,6,3,200,Right,Harvard University,Palo Alto,,,,,,10/29/10,3 years,3,8/23/88,1988,25,25y 0m 105d 18H 0M 0S,"Palo Alto, California",Palo Alto,California,USA,"Palo Alto, California",Palo Alto,California,7;17;7,"Signed offer sheet on July 14, 2012 for an assumed $25,123,938 for 3 years.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ffd700;-Golden State Warriors, 2011-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff4500;-New York Knicks, 2012-poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2013-2014",http://www.basketball-reference.com/players/l/linje01.html,12/7/13 15:54
